-,,,,,,,,,,,,,,,,,,,,,,,
,Control list,AUDIT SOC2 Type 2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
#,Control from the audit,Expected evidence,Owner,Status,Comments,link folder,Section,,,,,,,,,,,,,,,,
,Organizational controls (Entity Level Controls),,,,,,,,,,,,,,,,,,,,,,
1,The Board of Directors meets on a quarterly basis. The Board meeting has a fixed agenda to review key operational and strategic aspects of the organization.,"• BoD meeting invite
• BoD meeting minutes",,Gap,,,Organizational Controls,,,,,,,,,,,,,,,,
2,The management of the company meets on at least a monthly basis to discuss on-going issues and updates.   ,"• Management meeting invite
• Management meeting minutes",,Gap,,,Organizational Controls,,,,,,,,,,,,,,,,
3,An organizational chart is documented and approved by management that clearly defines management authorities and reporting hierarchy.  ,"• [Company_Name] Organizational chart (include only job titles, not individual names)",,Gap,,,Organizational Controls,,,,,,,,,,,,,,,,
4,A description of the [Company_Name] system and its boundaries is documented and communicated to the relevant [Company_Name] employees and to external users through [Company_Name]'s website.  ,• A screenshot of the [Company_Name] platform/website showing system/product description,,Gap,,,Organizational Controls,,,,,,,,,,,,,,,,
5,"Policies and procedures are documented, reviewed and approved on an annual basis by the management team and available to [Company_Name]'s employees within the [Company_Name] internal portal.","• [Company_Name] policies and procedures including an approval section (See tab ""policies"" for the list) 
• Review of policies
• A screenshot of the internal portal/drive showing employees have access to the relevant policies and procedures",,Gap,,,Organizational Controls,,,,,,,,,,,,,,,,
6,"An information security policy is documented, reviewed and approved by [Company_Name] management on an annual basis.","• The [Company_Name] security policy including an approval section
• Review of the policy",,Gap,,,Organizational Controls,,,,,,,,,,,,,,,,
7,New employees go through screening and appropriate reference or background checks.,"• Testing:
1. [Company_Name] will provide the list of new employees who joined during the audit period.
2. EY will choose a sample of new employees
3. [Company_Name] will provide evidence of reference checks for the chosen sample",,Gap,,,Organizational Controls,,,,,,,,,,,,,,,,
8,"New employees go through an onboarding process during which a checklist is used that includes the various steps the employee must complete, such as receiving office equipment.","• A new employee checklist template
• Testing:
1. [Company_Name] will provide the list of new employees who joined during the audit period.
2. EY will choose a sample of new employees
3. [Company_Name] will provide completed onboarding checklists for the chosen sample",,Gap,,,Organizational Controls,,,,,,,,,,,,,,,,
9,New employees are required to sign a standard employment agreement outlining the confidentiality and the intellectual property clauses.,"• An employment contract with an NDA/confidentiality section
• Testing:
1. [Company_Name] will provide the list of new employees who joined during the audit period.
2. EY will choose a sample of new employees
3. [Company_Name] will provide signed employment agreements for the chosen sample",,Gap,,,Organizational Controls,,,,,,,,,,,,,,,,
10,Employees go through annual security awareness training based on the [Company_Name] security policy. ,"1. Security Awareness training materials
2. Testing:
1. The Company will provide a list of current employees 
2. EY will choose a sample of employees
3. The Company will provide evidence of security awareness training for the chosen sample",,Gap,,,Organizational Controls,,,,,,,,,,,,,,,,
